Executando com 4 tarefas (blocos de colunas), grade 500x500, 5000 gerações...
Tempo interno de execucao: 258.500022 segundos
         2791538 function calls (2791187 primitive calls) in 258.515 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 process.py:403(__init__)
        1    0.000    0.000    0.000    0.000 subprocess.py:477(CompletedProcess)
        1    0.000    0.000    0.000    0.000 pickle.py:256(_Unframer)
        6    0.000    0.000    0.000    0.000 reduction.py:43(register)
        1    0.000    0.000    0.000    0.000 contextlib.py:41(AbstractAsyncContextManager)
      3/2    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.000    0.000 tempfile.py:885(TemporaryDirectory)
       11    0.000    0.000    0.000    0.000 <frozen codecs>:189(__init__)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:942(get_filename)
        1    0.000    0.000    0.000    0.000 selectors.py:281(SelectSelector)
        1    0.000    0.000    0.000    0.000 threading.py:408(notify)
        1    0.000    0.000    0.000    0.000 threading.py:685(Barrier)
        1    0.000    0.000    0.000    0.000 selectors.py:84(BaseSelector)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:750(create_module)
        6    0.000    0.000    0.000    0.000 signal.py:51(decorator)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:12(__init__)
        1    0.000    0.000    0.000    0.000 enum.py:677(__call__)
        9    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 <frozen os>:790(decode)
        1    0.000    0.000    0.000    0.000 threading.py:290(__init__)
        7    0.000    0.000    0.000    0.000 enum.py:1724(_simple_enum)
        1    0.000    0.000    0.000    0.000 popen_fork.py:13(Popen)
        1    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
        1    0.000    0.000    0.000    0.000 contextlib.py:472(_BaseExitStack)
        4    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.000    0.000 context.py:226(Process)
       32    0.000    0.000    0.000    0.000 {method 'detach' of '_socket.socket' objects}
        8    0.000    0.000    0.000    0.000 _parser.py:256(match)
        2    0.000    0.000    0.000    0.000 enum.py:777(__iter__)
        1    0.000    0.000    0.000    0.000 weakref.py:235(update)
        1    0.000    0.000    0.000    0.000 context.py:236(DefaultContext)
        7    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        3    0.000    0.000    0.000    0.000 enum.py:334(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:278(Condition)
        2    0.000    0.000    0.000    0.000 _compiler.py:221(_compile_charset)
        1    0.000    0.000    0.000    0.000 reduction.py:251(AbstractReducer)
        3    0.000    0.000    0.000    0.000 enum.py:947(_find_data_repr_)
        1    0.000    0.000    0.000    0.000 pickle.py:193(_Framer)
        1    0.000    0.000    0.000    0.000 connection.py:381(Connection)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'select.epoll' objects}
       29    0.000    0.000    0.000    0.000 enum.py:236(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:328(_is_owned)
        6    0.000    0.000    0.000    0.000 _parser.py:261(get)
        1    0.000    0.000    0.000    0.000 subprocess.py:132(CalledProcessError)
        1    0.000    0.000    0.000    0.000 selectors.py:60(_SelectorMapping)
